prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,8192,32,16,310.821
16,8192,32,32,312.123
16,8192,32,64,314.127
16,8192,32,128,388.081
16,8192,32,256,470.738
16,8192,32,512,603.743
16,8192,32,1024,877.528
16,8192,32,2048,1392.36
16,8192,32,4096,2492.54
16,8192,32,8192,2493.59
16,8192,64,16,412.358
16,8192,64,32,414.759
16,8192,64,64,420.145
16,8192,64,128,554.771
16,8192,64,256,702.325
16,8192,64,512,981.658
16,8192,64,1024,1508.49
16,8192,64,2048,2655.22
16,8192,64,4096,4989.44
16,8192,64,8192,4982.88
16,8192,128,16,596.852
16,8192,128,32,601.983
16,8192,128,64,615.614
16,8192,128,128,875.257
16,8192,128,256,1161.13
16,8192,128,512,1705.02
16,8192,128,1024,2819.94
16,8192,128,2048,5157.23
16,8192,128,4096,9985.93
16,8192,128,8192,9982.76
32,0,0,0,14.8587
32,0,1,16,15.0297
32,0,1,32,15.0937
32,0,1,64,15.0403
32,0,1,128,19.7973
32,0,1,256,25.6753
32,0,1,512,37.5153
32,0,1,1024,61.4513
32,0,1,2048,109.058
32,0,1,4096,213.262
32,0,1,8192,213.316
32,0,2,16,22.72
32,0,2,32,22.7847
32,0,2,64,22.7843
32,0,2,128,28.9603
32,0,2,256,35.0407
32,0,2,512,46.6677
32,0,2,1024,70.1983
32,0,2,2048,117.911
32,0,2,4096,220.356
32,0,2,8192,219.95
32,0,4,16,22.8693
32,0,4,32,22.9653
32,0,4,64,23.179
32,0,4,128,33.3117
32,0,4,256,45.579
32,0,4,512,69.3133
32,0,4,1024,116.588
32,0,4,2048,213.07
32,0,4,4096,421.532
32,0,4,8192,421.553
32,0,8,16,38.0053
32,0,8,32,38.1763
32,0,8,64,38.7417
32,0,8,128,55.116
32,0,8,256,73.111
32,0,8,512,108.653
32,0,8,1024,179.8
32,0,8,2048,322.96
32,0,8,4096,631.893
32,0,8,8192,632.074
32,0,16,16,53.8563
32,0,16,32,54.2727
32,0,16,64,55.6273
32,0,16,128,88.481
32,0,16,256,124.706
32,0,16,512,196.153
32,0,16,1024,340.656
32,0,16,2048,628.746
32,0,16,4096,1250.86
32,0,16,8192,1252.26
32,0,32,16,99.4153
32,0,32,32,100.396
32,0,32,64,102.146
32,0,32,128,168.621
32,0,32,256,240.42
32,0,32,512,384.347
32,0,32,1024,675.094
32,0,32,2048,1247.32
32,0,32,4096,2488.39
32,0,32,8192,2489.63
32,0,64,16,184.558
32,0,64,32,186.446
32,0,64,64,190.595
32,0,64,128,320.582
32,0,64,256,464.36
32,0,64,512,752.535
32,0,64,1024,1328.67
32,0,64,2048,2476.89
32,0,64,4096,4953.07
32,0,64,8192,4957.76
32,0,128,16,360.22
32,0,128,32,364.859
32,0,128,64,375.121
32,0,128,128,647.243
