pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
64,n<=128,sr<=15%,kvB<=32k,kp<=8k,0.0761,2
64,n<=128,sr<=15%,kvB<=32k,kp=0,0.0763,2
64,n<=128,sr<=15%,kvB<=4k,kp<=20k,0.2625,2
64,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0754,2
64,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0826,2
64,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.2673,2
64,n<=128,sr<=15%,kvB<=4k,kp=0,0.0816,2
64,n<=128,sr<=40%,kvB<=16k,kp<=20k,0.0556,1
64,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0011,1
64,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0045,1
